timestamp,elapsed_seconds,cpu_percent,ram_used_gb,ram_percent
2026-04-15T16:01:44.990373,49.1,44.1,10.78,91.9
2026-04-15T16:01:45.991176,50.1,39.5,10.79,92.0
2026-04-15T16:01:46.992391,51.1,20.7,10.79,92.0
2026-04-15T16:01:47.993528,52.1,25.3,10.79,92.0
2026-04-15T16:01:48.994716,53.1,20.2,10.79,92.0
2026-04-15T16:01:49.995903,54.1,24.2,10.79,92.0
2026-04-15T16:01:50.997141,55.1,28.2,10.83,92.3
2026-04-15T16:01:51.998075,56.1,34.3,10.88,92.8
2026-04-15T16:01:52.999183,57.1,25.0,10.84,92.4
2026-04-15T16:01:54.000296,58.1,41.0,10.89,92.8
2026-04-15T16:01:55.001332,59.1,39.7,10.92,93.1
2026-04-15T16:01:56.003079,60.1,47.4,10.99,93.6
2026-04-15T16:01:57.004047,61.1,32.9,11.03,94.0
2026-04-15T16:01:58.007627,62.1,44.4,11.05,94.2
2026-04-15T16:01:59.008749,63.1,46.7,11.12,94.7
2026-04-15T16:02:00.009516,64.1,38.7,11.13,94.8
2026-04-15T16:02:01.010464,65.1,31.0,11.13,94.9
2026-04-15T16:02:02.011497,66.1,41.3,11.14,95.0
2026-04-15T16:02:03.012569,67.1,27.7,11.11,94.7
2026-04-15T16:02:04.013581,68.1,31.8,11.1,94.6
2026-04-15T16:02:05.014530,69.1,22.3,11.1,94.6
2026-04-15T16:02:06.015515,70.1,20.2,11.08,94.4
2026-04-15T16:02:07.016545,71.1,29.7,11.07,94.3
2026-04-15T16:02:08.017870,72.1,36.8,11.06,94.3
2026-04-15T16:02:09.019093,73.1,50.4,11.03,94.0
2026-04-15T16:02:10.020230,74.1,64.2,10.82,92.2
2026-04-15T16:02:11.021735,75.1,42.9,10.81,92.2
2026-04-15T16:02:12.023083,76.1,21.1,10.82,92.2
2026-04-15T16:02:13.023965,77.1,49.9,10.81,92.2
2026-04-15T16:02:14.025672,78.1,74.6,10.92,93.1
2026-04-15T16:02:15.028297,79.1,64.0,10.93,93.1
2026-04-15T16:02:16.030081,80.1,52.7,10.93,93.1
2026-04-15T16:02:17.031011,81.1,59.4,10.94,93.2
2026-04-15T16:02:18.033192,82.1,50.1,10.95,93.3
2026-04-15T16:02:19.034325,83.1,53.9,11.03,94.0
2026-04-15T16:02:20.035459,84.1,45.5,11.02,93.9
2026-04-15T16:02:21.037201,85.1,50.8,10.77,91.8
2026-04-15T16:02:22.038563,86.1,59.3,10.78,91.9
2026-04-15T16:02:23.039739,87.1,54.8,10.73,91.4
2026-04-15T16:02:24.041131,88.1,74.7,10.74,91.5
2026-04-15T16:02:25.042337,89.1,58.3,10.64,90.7
2026-04-15T16:02:26.043573,90.1,41.8,10.56,90.0
2026-04-15T16:02:27.044898,91.1,22.8,10.55,89.9
2026-04-15T16:02:28.045767,92.1,22.5,10.55,89.9
2026-04-15T16:02:29.046833,93.1,25.7,10.57,90.1
2026-04-15T16:02:30.048335,94.1,30.0,10.57,90.1
2026-04-15T16:02:31.049886,95.1,20.9,10.57,90.0
2026-04-15T16:02:32.050850,96.1,20.7,10.56,90.0
2026-04-15T16:02:33.052592,97.1,18.7,10.58,90.2
2026-04-15T16:02:34.054357,98.1,16.1,10.59,90.3
2026-04-15T16:02:35.055123,99.1,16.6,10.6,90.3
2026-04-15T16:02:36.056496,100.1,25.9,10.59,90.2
2026-04-15T16:02:37.057910,101.1,23.7,10.59,90.3
2026-04-15T16:02:38.058899,102.1,33.1,10.6,90.3
