timestamp,elapsed_seconds,cpu_percent,ram_used_gb,ram_percent
2026-04-15T17:03:50.248797,61.4,50.1,11.05,94.1
2026-04-15T17:03:51.250539,62.4,43.1,11.05,94.2
2026-04-15T17:03:52.253467,63.4,39.1,11.05,94.2
2026-04-15T17:03:53.258536,64.4,55.2,11.05,94.2
2026-04-15T17:03:54.261526,65.4,47.5,11.05,94.2
2026-04-15T17:03:55.263125,66.4,35.0,11.05,94.2
2026-04-15T17:03:56.265718,67.4,27.4,11.05,94.2
2026-04-15T17:03:57.267230,68.4,37.6,11.05,94.2
2026-04-15T17:03:58.269321,69.4,38.4,11.05,94.2
2026-04-15T17:03:59.271084,70.4,43.5,11.05,94.2
2026-04-15T17:04:00.273054,71.4,39.2,11.04,94.1
2026-04-15T17:04:01.275641,72.4,34.7,11.05,94.2
2026-04-15T17:04:02.278370,73.4,30.7,11.05,94.2
2026-04-15T17:04:03.279669,74.4,41.9,11.05,94.2
2026-04-15T17:04:04.282635,75.4,41.0,11.05,94.2
2026-04-15T17:04:05.285761,76.4,38.7,11.05,94.2
2026-04-15T17:04:06.289675,77.4,37.8,11.05,94.2
2026-04-15T17:04:07.292523,78.4,43.3,11.05,94.2
2026-04-15T17:04:08.294246,79.4,45.5,11.05,94.2
2026-04-15T17:04:09.296172,80.4,57.8,11.05,94.2
2026-04-15T17:04:10.302466,81.4,52.2,11.04,94.1
2026-04-15T17:04:11.304982,82.4,44.1,11.05,94.2
2026-04-15T17:04:12.308543,83.4,42.1,11.05,94.2
2026-04-15T17:04:13.310967,84.4,39.0,11.05,94.2
2026-04-15T17:04:14.313269,85.4,43.5,11.05,94.2
2026-04-15T17:04:15.315215,86.4,37.5,11.05,94.2
2026-04-15T17:04:16.318462,87.4,40.8,11.05,94.2
2026-04-15T17:04:17.320633,88.4,39.6,11.06,94.3
2026-04-15T17:04:18.323723,89.4,52.9,11.06,94.3
2026-04-15T17:04:19.325699,90.4,56.1,11.07,94.3
2026-04-15T17:04:20.425769,91.5,68.4,11.05,94.2
2026-04-15T17:04:21.430574,92.6,47.7,11.06,94.3
2026-04-15T17:04:22.433550,93.6,41.4,11.06,94.3
2026-04-15T17:04:23.437296,94.6,49.4,11.06,94.3
2026-04-15T17:04:24.440443,95.6,49.3,11.06,94.2
2026-04-15T17:04:25.442917,96.6,45.6,11.06,94.3
2026-04-15T17:04:26.445497,97.6,41.7,11.06,94.3
2026-04-15T17:04:27.447619,98.6,50.5,11.06,94.3
2026-04-15T17:04:28.452083,99.6,50.6,11.07,94.3
